Id,Review,English Translation (Approximate) ,,,,,,,,,
14,സിനിമയുടെ ഇതിവൃത്തം വളഞ്ഞതും പിന്തുടരാൻ പ്രയാസമുള്ളതും കാഴ്ചക്കാരനെ ആശയക്കുഴപ്പത്തിലാക്കുകയും നിരാശനാക്കുകയും ചെയ്തു,The film's sort of film was curved and difficult to follow and confuse the viewer and disappointed,,,,,,,,,
15,ഈ ചിത്രത്തിലെ സംഗീതം അസഹനീയമാണ്,The music in this picture is unbearable,,,,,,,,,
16,"അമിതാഭ് ബച്ചൻ, അജയ് ദേവ്ഗൺ, കരീന കപൂർ എന്നിവരുടെ കാസ്റ്റിംഗ് മികച്ചതാണ്, പക്ഷേ അവരുടെ പ്രകടനം മികച്ചതല്ല.","Amitabh Bachchan, Ajay Devgn and Kareena Kapoor is better, but their performance is not great.",,,,,,,,,
17,സിനിമ വളരെ മടുപ്പിക്കുന്നതും അടിസ്ഥാനപരമായി അർത്ഥശൂന്യമായ കഥയും .  വിചിത്രമായ എഡിറ്റിംഗ് ,The film is very tired and basically a meaningless story.The odd editing,,,,,,,,,
18,ഒരു തവണ കാണാൻ കൊള്ളാം.പ്രത്യേകിച്ച് ഓർത്തിരക്കത്തക്ക ഒന്നും ഇല്ല.,Good to watch once. Nothing particularly memorable.,,,,,,,,,
19,തട്ടിക്കൂട്ട് സിനിമ ,Thattikoot movie,,,,,,,,,
20,"കഥാ പാത്രങ്ങളുടെ തെരഞ്ഞെടുപ്പ്, സംവിധാനം, അഭിനയം, ചായാഗ്രഹണം മികച്ചതാണ്","The choice of stochants, acting, acting, lematography is the best",,,,,,,,,
21,"മൈക്കൽ ഷിഫർ എഴുതിയ തിരക്കഥ, സൂത്രവാക്യവും പ്രവചനാതീതവുമാണെന്ന് തോന്നുന്നു, ഒരിക്കലും റിസ്ക് എടുക്കുകയോ തീമുകൾ അർത്ഥവത്തായ രീതിയിൽ പര്യവേക്ഷണം ചെയ്യുകയോ ചെയ്യുന്നു.കഥ പ്രവചിക്കാവുന്നതും യഥാർത്ഥ ആഴമൊന്നും ഇല്ലാത്തതുമാണ്.കഥ മന്ദഗതിയിലുള്ളതും പിരിമുറുക്കമില്ലാത്തതുമാണ്,.","The script, written by Michael Shipher, will never predict the risk or exploring the risk.",,,,,,,,,
22,"ഈ സിനിമ ആകെ ഒരു നായയാണ്. എന്റെ പണവും സമയവും പാഴാക്കുമെന്ന് എനിക്ക് തോന്നാതിരിക്കാൻ ചിരിക്കാൻ എന്തെങ്കിലും കണ്ടെത്താൻ ഞാൻ ബുദ്ധിമുട്ടുന്നതായി കണ്ടെത്തി. ഈ സിനിമയിലെ എഴുത്ത് തികച്ചും ഭീകരമാണ്. പല പ്ലോട്ടിന്റെയും --ഉപപ്ലോട്ടുകൾ ഉൾപ്പെടെ- എന്തായിരുന്നുവെന്ന് ഈ സിനിമ നിങ്ങളെ അത്ഭുതപ്പെടുത്തുന്നു. ഈ സിനിമ കണ്ടുകഴിഞ്ഞാൽ, കഥാപാത്രത്തിന്റെയും ഡെലിവറിയുടെയും അത്രയും വരികൾ ഇല്ലാത്ത നെപ്പോളിയൻ ഡൈനാമിറ്റ് പോലുള്ള നർമ്മം പകർത്താൻ നിർമ്മാതാക്കൾ പ്രതീക്ഷിച്ചിരുന്നതായി എനിക്ക് തോന്നി. നിർഭാഗ്യവശാൽ, ഈ സിനിമ വരകളോ കഥാപാത്രങ്ങളോ ഡെലിവറിയോ നർമ്മമോ നൽകുന്നതിൽ പരാജയപ്പെടുന്നു. പകരം ഞാൻ ദന്തരോഗവിദഗ്ദ്ധന്റെ അടുത്തേക്ക് പോകേണ്ടതായിരുന്നു!","This movie is a dog that is total.I found it difficult to find something to laugh to laugh at my money and time.The writing in this movie is quite terrible.This movie makes you surprise that what was the many plot - including many plots.Once this movie is found, the manufacturers have felt that the manufacturers were expecting to copy the humor, such as Napoleon dynamite, which is not lyrics.Unfortunately, this film fails to provide rings or characters to the or humorous.I was to go to the dentist instead!",,,,,,,,,
23," പ്ലോട്ടിന്റെ സംഗ്രഹം വായിക്കുമ്പോൾ, ഇതൊരു നല്ല കഥയാണെന്ന് തോന്നുന്നു. എന്നാൽ അതിനെ ജീവസുറ്റതാക്കുന്നതിൽ സഹോദരങ്ങൾ ദയനീയമായി പരാജയപ്പെടുന്നു. ഭാവിയിൽ പൂർണ്ണമായും ഒഴിവാക്കുന്നത് പരിഗണിക്കേണ്ട ഒരു കാര്യം: സംഭാഷണം. ദൈവമേ, ഇവിടെ ഭയങ്കരമാണ്. വളരെ നല്ല കാസ്റ്റിംഗ് ആയിരുന്നു ഈ സിനിമയിൽ. ","When reading the summary of the plot, it seems to be a good story.But the brothers fail to lifferent to life.One more thing to consider avoiding completely in the future: conversation.God, is terrible here.The film was very good casting.",,,,,,,,,
24,"ക്രിയേറ്റീവ് ഫ്രെയിമിംഗോ രസകരമായ ആംഗിളുകളോ ഇല്ലാതെ ക്യാമറ വർക്ക് അലസവും പ്രചോദനമില്ലാത്തതുമായി തോന്നി. ലൈറ്റിംഗ് മങ്ങിയതായിരുന്നു, കൂടാതെ നിഴലുകളുടെയും ഹൈലൈറ്റുകളുടെയും കളി ഇല്ലായിരുന്നു. ഒരു സിനിമ ശക്തമായ ഛായാഗ്രഹണത്തിന്റെ പ്രാധാന്യം അവഗണിക്കുമ്പോൾ അത് നിരാശാജനകമാണ്, കാരണം അത് കാഴ്ചാനുഭവത്തിന്റെ മൊത്തത്തിലുള്ള ഗുണനിലവാരത്തെ സാരമായി ബാധിക്കും. ഈ സിനിമയുടെ ഛായാഗ്രഹണം തുടക്കം മുതൽ ഒടുക്കം വരെ നിരാശപ്പെടുത്തുന്നതായിരുന്നു.","Camera work without creative framing or interesting angles seemed to be lazy and unwarried.Lighting was dim, and there was no shadows and highlights.It is disappointing when a film ignores the importance of the location of the location, because it can affect the overall quality of sight.The cinematography of this movie was disappointing from the beginning.",,,,,,,,,
25,"കഥയെന്ന് പേരിന് പറയാന്‍ പോലും ഒരു കഥയില്ലാത്ത, ഹാസ്യത്തിന്റെ പേരും പറഞ്ഞ് കോപ്രായങ്ങൾ കാട്ടിക്കൂട്ടിയ സിനിമ. ഒരു പാട്ടൊഴികെ ബാക്കിയെല്ലാം എഴുതി തള്ളാനാവുന്നത്.","The film was enlarged the corpses, even the name of the name of the story.Write down all the rest of the rest of the rest of a lot.",,,,,,,,,
26,"നമുക്ക് പാർക്കൻ മുന്തിരി തോപ്പുകൾ (1986): കേരളത്തിലെ ഗ്രാമീണ ഭൂപ്രകൃതികളുടെ വിസ്മയിപ്പിക്കുന്ന ഷോട്ടുകളുള്ള ചിത്രത്തിന്റെ ഛായാഗ്രഹണം അതിശയിപ്പിക്കുന്നതായിരുന്നു. പ്രധാന അഭിനേതാക്കളായ മോഹൻലാലും ശാരിയും ഉജ്ജ്വലമായ പ്രകടനങ്ങൾ നടത്തി, സഹതാരങ്ങളും തങ്ങളുടെ റോളുകളോട് നീതി പുലർത്തി. സിനിമ ജീവിതത്തെ പിന്തുടരുന്നു. വ്യത്യസ്ത ജാതിയിൽപ്പെട്ട ഒരു സ്ത്രീയെ പ്രണയിക്കുന്ന ഒരു യുവാവിന്റെ. പ്രണയം, ജാതീയത, സാമൂഹിക മാനദണ്ഡങ്ങൾ എന്നിവയുടെ പ്രമേയങ്ങളാണ് കഥ കൈകാര്യം ചെയ്യുന്നത്. പത്മരാജന്റെ സംവിധാനം മികച്ചതായിരുന്നു, കൂടാതെ കഥാപാത്രങ്ങളുടെ വികാരങ്ങൾ മനോഹരമായി പുറത്തുകൊണ്ടുവരാൻ അദ്ദേഹത്തിന് കഴിഞ്ഞു. തിരക്കഥ നന്നായി എഴുതിയിരുന്നു, ഒപ്പം സംഭാഷണങ്ങൾ ഹൃദ്യവും ചിന്തോദ്ദീപകവുമായിരുന്നു. .","We are the park's grape thops (1986): The photography of the image of the image of the rural landscape in Kerala was surprising.Mohanlal and Shari, the main actor, conducting vain performance and piokars have justified righteousness to their rolls.Following the movie is following life.Of a young man who love a woman in different caste.The story is dealing with the residents of love, casteism and social norms.The Padmarajan's direction was better, and he was able to bring out the feelings of the characters.The script was well written and conversations was hibrous and thoughtful..",,,,,,,,,
27,"ഛായാഗ്രഹണത്തിന് സർഗ്ഗാത്മകത ഇല്ലാതിരിക്കുകയും ദൃശ്യപരമായി ശ്രദ്ധേയമായ നിമിഷങ്ങൾ സൃഷ്ടിക്കുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു, ഇത് ദൃശ്യപരമായി ശ്രദ്ധേയമായ അനുഭവത്തിന് കാരണമാകുന്നു. നായകന്റെ തെറ്റായ കാസ്റ്റിംഗ് സിനിമയെ ശരിക്കും നശിപ്പിച്ചു.","The cinematography is not creativity and fail to create visually remarkable moments, which causes visually remarkable experience.Really destroyed the wrong casting movie.",,,,,,,,,
28,"സിനിമയ്ക്ക് യഥാർത്ഥ സാരാംശമോ ഗൂഢാലോചനയോ ഇല്ലായിരുന്നു. കഥാഗതി പ്രവചനാതീതവും അസ്വാഭാവികവുമായിരുന്നു, ","The film was absent from real essence or conspiracy.The storytell was unpredictable and unnatural,",,,,,,,,,
29,"മീരാ ജാസ്മിനെ കാണാൻ ആളുകൾ തിയേറ്ററുകളിലേക്ക് ഓടിയെത്തുമെന്ന് സംവിധായകൻ കരുതിയിരിക്കാം.
തട്ടിക്കൂട്ട് തിരക്കഥയും മീരാ ജാസ്മിന്റെ ഗംഭീര തിരിച്ചുവരവും.","The director must have thought that people would flock to the theaters to watch Meera Jasmine.
Thattikoot screenplay and Meera Jasmine's grand comeback.",,,,,,,,,
30,"അക്ഷയ് കുമാർ, സുനിൽ ഷെട്ടി, പരേഷ് റാവൽ എന്നിവർ അഭിനയിച്ച ഒരു കോമഡി ചിത്രമാണ് ഹേരാ ഫേരി. അബദ്ധത്തിൽ ഒരു തട്ടിക്കൊണ്ടുപോകലിൽ ഏർപ്പെടുന്ന മൂന്ന് പുരുഷന്മാരെ ചുറ്റിപ്പറ്റിയാണ് സിനിമയുടെ ഇതിവൃത്തം. ചിത്രത്തിന്റെ കാസ്റ്റിംഗ് മികച്ചതാണ്, പ്രധാന അഭിനേതാക്കൾ തമ്മിലുള്ള കെമിസ്ട്രി അതിശയകരമാണ്. ഛായാഗ്രഹണം ചിത്രത്തിന്റെ കുഴപ്പവും നർമ്മവും ഒപ്പിയെടുക്കുന്നു, പ്രിയദർശന്റെ സംവിധാനവും മികച്ചതാണ്. തിരക്കഥ നന്നായി എഴുതിയിരിക്കുന്നു, അത് ഇന്ത്യൻ സിനിമയിലെ ഏറ്റവും മികച്ച കോമഡി ചിത്രങ്ങളിലൊന്നായി മാറുന്നു.","Hera Ferera is a comedy film with Akshay Kumar, Sunil Shetty and Paresh Rawal.The plot of the film is around the three men that engage in an abduct on an abduct.The film's casting is better and the chemistry between the main actors is fantastic.Cinematography is signed by the film's trouble and humor, and Priyadarshan is also better.Screenplay is well written, it becomes one of the best comedy of the Indian cinema.",,,,,,,,,
31,"ദൃശ്യം 2 ഭാഗവും ആസ്വാദ്യമാണ്. രണ്ടാം ഭാഗം ആണ് കൂടുതൽ ഹൃദ്യം ആയത്. ജിത്തു ജോസഫ് മായാജാലം എന്നു ഒറ്റവാക്കിൽ പറയാം. Casting, scripting നന്നായി ചെയ്തു","Scientes 2 parties are enjoyable.The second part is more fatal.Let me tell Jithyfamal in one word Jitha.Casting, scripting well",,,,,,,,,
32,"ഏറെ നാളായി നഷ്‌ടപ്പെട്ട തന്റെ പ്രണയം തേടിയുള്ള ഒരു മനുഷ്യന്റെ യാത്രയെ തുടർന്നുള്ള ഒരു കോമഡി ചിത്രമാണ് കിലുക്കം കിലുകിലുക്കം. ആനന്ദക്കുട്ടന്റെ ഛായാഗ്രഹണം ദൃശ്യപരമായി ആകർഷകമാണെങ്കിൽ, ബേണി-ഇഗ്നേഷ്യസിന്റെ സംഗീതം അവിസ്മരണീയമാണ്. പ്രധാന അഭിനേതാക്കളുടെ പ്രകടനങ്ങൾ സ്ഥിരതയില്ലാത്തതാണ്, ഫാസിലിന്റെ സംവിധാനം മങ്ങിയതാണ്. ഉദയ്കൃഷ്ണയുടെയും സിബി കെ തോമസിന്റെയും തിരക്കഥ ആസൂത്രിതവും യോജിപ്പില്ലാത്തതുമാണ്, ക്ലൈമാക്സ് നിർബന്ധിതമായി അനുഭവപ്പെടുന്നു.","Kilukkikali is a comedy film that followed a man who was looking for his love that was lost.If the photoschet's photography is visually attractive, the music of Berni-Ignatius is unforgettable.The performance of the main actors are not consistent, fadesile direction is bleak.Uday Krishna, CibK is planned and contained and incentive and containing of Thomas, the climax is forcibly.",,,,,,,,,
33,"അത് 9 ഡോളർ പാഴാക്കി. പ്രേക്ഷക ശ്രദ്ധയിൽ അൽപ്പം പോലും പിടിച്ചുനിൽക്കാൻ തോന്നിയില്ല. കൂടാതെ, മുഴുവൻ സിനിമയിലും പ്ലോട്ട് ലൈൻ ഒട്ടും മുന്നോട്ട് പോയില്ല, അതെല്ലാം പക 3 യുടെ ഒരു വലിയ സജ്ജീകരണം മാത്രമായിരുന്നു. സിനിമ ഒരു വലിയ പ്ലോട്ട് മുന്നേറ്റം നടത്താൻ പോകുന്നുവെന്ന് തോന്നിയപ്പോൾ, അത് അങ്ങനെ തന്നെയായി. അർത്ഥമില്ലാത്ത ഒരു രംഗം. ഈ സംവിധായകർ ഹിച്ച്‌കോക്കിന്റെ മാതൃക പിന്തുടരേണ്ടതുണ്ട്: ഓരോ സീനിലും ഒരു പോയിന്റുണ്ട്. ഒരുപക്ഷെ ഈ സിനിമയിലെ 90% രംഗങ്ങളും ഇതിവൃത്തം മാറ്റാതെ ഒഴിവാക്കാമായിരുന്നു. അന്തിമ അഭിപ്രായം: നിങ്ങളുടെ സമയമോ ഊർജമോ പണമോ പാഴാക്കരുത്!!! എന്നാലും ഭയങ്കര മോശം ബാക്ക്ഗ്രൗണ്ട്  മ്യൂസിക് ആയിരുന്നു.  ","That was a waste of $9. It didn't seem to hold the audience's attention one bit. Also, the plot line didn't move forward at all in the entire movie, it was all just a big set up for Paka 3. Just when it looked like the movie was going to make a big plot advance, it did. A pointless scene. These directors need to follow Hitchcock's example: every scene has a point. Probably 90% of the scenes in this movie could have been avoided without changing the plot. FINAL COMMENT: DON'T WASTE YOUR TIME, ENERGY OR MONEY!!! But the background music was terrible.",,,,,,,,,
34,മോശം അല്ലാത്ത സിനിമ,Not a bad movie,,,,,,,,,
35,എന്നെ സംബന്ധിച്ചിടത്തോളം ഇരട്ട എന്ന ചിത്രം തിരക്കഥയിൽ വിട്ടുവീഴ്ച ചെയ്യാതെ ഒരു സമ്പൂർണ്ണ സംവിധായകരുടെ ചിത്രമായിരുന്നു. പാട്ടുകൾ എല്ലാം തന്നെ വളരെ മോശമായാണ് തോന്നിയത്. കേൾക്കാൻ ഇമ്പമില്ലാത്ത സംഗീതമായിരുന്നു. ,"As far as I was concerned, it was a complete director film without compromising double in the film.The songs were all very bad.Was a seamless music to hear.",,,,,,,,,
36,"ഗുരു ദത്തിന്റെ സംവിധാനം പലപ്പോഴും പ്രശംസിക്കപ്പെടുമ്പോൾ, ""സാഹിബ് ബീബി ഔർ ഗുലാം"" എന്നതിലെ അദ്ദേഹത്തിന്റെ കൃതി അസമത്വവും വിയോജിപ്പും അനുഭവപ്പെടുന്നു.സിനിമയുടെ പോക്കിംഗ് മന്ദഗതിയിലാണ്, ആഖ്യാനത്തിന് അദ്ദേഹത്തിന്റെ മുൻകാല സൃഷ്ടികളുടെ ശ്രദ്ധയും യോജിപ്പും ഇല്ല.","When Guru Dutt is often boasted, his work in ""Sahib Bii Our Ghulam"" experienced inequalities and disagreement with the inequalities and disagreements.",,,,,,,,,
37,"ഈ ചിത്രം ആരംഭിച്ചത് നല്ല ഉദ്ദേശ്യത്തോടെയാണ്, ബേക്കൺ എന്ന ശാസ്ത്രജ്ഞൻ അദൃശ്യതയുടെ സിദ്ധാന്തം പരീക്ഷിക്കാൻ പുറപ്പെട്ടു, ഷൂ അവളുടെ വേഷത്തിൽ പതിവുപോലെ സുന്ദരിയാണ്. അതിന് ശേഷം എല്ലാം തകിടം മറിഞ്ഞു, ഇത് ഇപ്പോൾ നിങ്ങളുടെ സാധാരണ ഹോളിവുഡ് ത്രില്ലറാണ്, സ്പെഷ്യൽ ഇഫക്റ്റുകൾ ധാരാളമായി ഒരു സൗണ്ട് സ്റ്റേജിൽ ചിത്രീകരിച്ചിരിക്കുന്നു, ഏതെങ്കിലും തരത്തിലുള്ള നർമ്മമോ ബുദ്ധിയോ ആത്മാവോ ഇല്ല. മറ്റൊരു വിധത്തിൽ പറഞ്ഞാൽ, ഇത് കണ്ട് നിങ്ങളുടെ സമയം പാഴാക്കരുത്.","This image started with good intentions, Bacon's theory of Bacon goes out to try the theory of the invisible theory of the invisible, is as beautiful as usual in the shoe.After that, it is now pictures of your ordinary Hollywood thriller.In other words, don't see it and waste your time.",,,,,,,,,
38,"കമലേശ്വര് മുഖർജി ഒരു പ്രതിഭാധനനായ സംവിധായകനാണ്, അദ്ദേഹം ചില ശ്രദ്ധേയമായ സിനിമകൾ നിർമ്മിച്ചിട്ടുണ്ട്. അദ്ദേഹത്തിന്റെ സിനിമകൾ പോരായ്മകളില്ലാത്തവയല്ലെങ്കിലും, അതിശയിപ്പിക്കുന്ന ദൃശ്യങ്ങൾ, ശ്രദ്ധേയമായ പ്രകടനങ്ങൾ, ആകർഷകമായ കഥകൾ, മികച്ച സംവിധാനം എന്നിവയ്ക്കായി അവ തീർച്ചയായും കാണേണ്ടതാണ്.","Kamaleshwar Mukherjee is a talented director, and he built some striking films.Although his films are not disabilities, most of the wonderful demonstrations, noticeable performances, attractive stories and best directions.",,,,,,,,,
39,ചിത്രത്തിന്റെ ഛായാഗ്രഹണം മാന്യവും എന്നാൽ ശ്രദ്ധേയമല്ല. പ്രധാന അഭിനേതാക്കളുടെ അവിസ്മരണീയമായ പ്രകടനങ്ങളുള്ള കാസ്റ്റിംഗ് പ്രചോദനാത്മകമല്ല. കഥ മോശമായി നിർമ്മിച്ചതും യോജിപ്പില്ലാത്തതും പിന്തുടരുന്നതിനോ ശ്രദ്ധിക്കുന്നതിനോ ബുദ്ധിമുട്ടാക്കുന്നു. പത്മരാജന്റെ സംവിധാനത്തിൽ കുഴപ്പവും ശ്രദ്ധക്കുറവും അനുഭവപ്പെടുന്നു. കുഴഞ്ഞുമറിഞ്ഞതും ആശയക്കുഴപ്പമുണ്ടാക്കുന്നതുമായ സിനിമ. തിരക്കഥ വ്യത്യസ്‌തവും ആകർഷകമായ ആഖ്യാന ഘടന നൽകുന്നതിൽ പരാജയപ്പെടുന്നതുമാണ്.,"The cinematography of the image is not decent.Casting with memorable performances of the main actors is not inspiring.It is difficult to follow or not to follow, follow or notice.The Padmarajan's direction feels trouble and attention.The messy and confused film.Script is a different and failure to provide an attractive narrative structure.",,,,,,,,,
40,ഫാമിലി സസ്പെൻസ് ത്രില്ലർ ഗണത്തിൽ ഉൾപ്പെടുന്ന മൂവി. ദിലീപ് വ്ത്യസ്ഥ ഗെറ്റപ്പിൽ പ്ത്യക്ഷപ്പെടുന്നു. സ്ത്രീവിരുദ്ധമായ പല സംഭാഷണ ശകലങ്ങൾ ഉൾപ്പെടുത്തിയ നർമ്മരംഗങ്ങൾ അലോസരമായിരുന്നു.,The movie belongs to the category of family suspense thriller. Dileep disappears in a different getup. Humorous scenes that included many misogynistic dialogues were annoying.,,,,,,,,,
41,"ജുമാൻജി രസകരവും വിനോദപ്രദവുമായ ചിത്രമാണ്, എന്നാൽ അതിന്റെ ബിജിഎം പലപ്പോഴും ഉച്ചത്തിലുള്ളതും ശ്രദ്ധ തിരിക്കുന്നതുമാണ്. ഏറ്റവും നാടകീയമായ രംഗങ്ങളിൽ പോലും സിനിമയുടെ ഉന്മേഷവും ബിജിഎം ഉപയോഗിക്കുന്നത് പലപ്പോഴും അസ്ഥാനത്താണ്.","Jumanji is a fun and a fun picture, but its BGM is often loud and distracting.Even in the most dramatic scenes, the refreshing of the film is often the basis of the BGM.",,,,,,,,,
42,"ജയസൂര്യയുടെയും ജാഫർ ഇടുക്കിയുടെയും മികച്ച പ്രകടനത്തിൽ നിന്ന് വിചിത്രമായ തലക്കെട്ടുള്ള ഈശോ പ്രയോജനം നേടുന്നു, പക്ഷേ കഥപറച്ചിൽ ശൈലി ഒരു വലിയ പരാജയമാണ്. സ്‌ക്രിപ്റ്റിൽ ഒരു ചെറിയ സസ്പെൻസ് പോലും ഇല്ല, മാത്രമല്ല പ്ലോട്ടിലെ ഓരോ ട്വിസ്റ്റും തിരിവും മനസ്സിലാക്കാൻ ശരാശരി ത്രില്ലർ പ്രേക്ഷകന് കഴിയണം.","The oddly titled Eesho benefits from Jayasuriya and Jaffer Idukki's excellent performances, but the storytelling style is a major letdown. There is not even an iota of suspense in the script and the average thriller viewer should be able to understand every twist and turn of the plot.",,,,,,,,,
43,വേറേതോ നൂറ്റാണ്ടിന്റെ സിനിമ. എല്ലാം മോശം.,The movie is the film of the century.All bad.,,,,,,,,,
44,കഥ ലോജിക് ഒന്നും ഇല്ലെങ്കിലും കാണാന്‍ പറ്റിയ പടം. നല്ല പാട്ട് ഉണ്ടല്ലോ ,The story is not to see if the story is none.There is a good song,,,,,,,,,
45,സിനിമയുടെ ഛായാഗ്രഹണം പ്രചോദിതമല്ലാത്തതായി അനുഭവപ്പെടുകയും ഈ വിഭാഗത്തിലേക്ക് പുതിയതൊന്നും ചേർക്കുന്നതിൽ പരാജയപ്പെടുകയും ചെയ്യുന്നു. സിനിമ മോശം ആവാനുള്ള  മെയിൻ  കാരണം  മിസ്‌കാസ്റ്റിംഗ്   ആണ്,The cinematography of the film feels uninspired and fails to add anything new to the genre. Miscasting is the main reason for bad movies,,,,,,,,,
46,ചിരിച്ചു ചാവും എന്ന് ഫ്രണ്ട്സ് പറഞ്ഞിട്ട് തീയേറ്ററിൽ പോയി. എല്ലാവരും ചിരിച്ചപ്പോൾ ചിരിക്കാൻ പറ്റാതെ എന്തോ പോലെ ആയതു ഓർമ്മയുണ്ട്.ഇത്രയും വൃത്തികെട്ട സിനിമ ഞാൻ ഇതുവരെ കണ്ടിട്ടില്ല,Laughing the brightly and went to the thount.There is something like that everyone laughs at all.,,,,,,,,,
47,"കഥ: ഈ കഥ ഹൃദയസ്പർശിയായതും ഹൃദ്യവുമാണ്, ദാരിദ്ര്യം, നിഷ്കളങ്കത, സന്തോഷം തേടൽ എന്നീ വിഷയങ്ങൾ കൈകാര്യം ചെയ്യുന്നു.","Story: This story is handled by heartbreaking and enjoyment, poverty, innocence and happiness.",,,,,,,,,
48,ചില തമാശകൾ കാലഹാരണപ്പെട്ടുപോയി ,Some jokes have fallen to,,,,,,,,,
